al -241.8427819189
ALKBDE10_2_cao -751.5280382743
ALKBDE10_7_mgo -274.3869389753
b -24.5833382021
be -14.5975718674
BH76_1_n2 -109.0090816209
BH76_1_n2ohts -184.2362746236
BH76_1_oh -75.4283334076
BH76_9_hf -100.0177966080
BH76_9_hf2ts -199.2109705447
c -37.7564582952
ca -676.6952291410
cl -459.3633194440
DC13_7_be4 -58.4219013239
f -99.3602870351
G2RC_10_61 -436.2328410598
G2RC_10_62 -1875.9731989187
G2RC_10_66 -687.4730480395
G2RC_10_67 -2127.2245956560
G2RC_20_1 -1.1633909885
G2RC_20_1 -1.1633909885
G2RC_20_13 -76.0606082235
G2RC_20_13 -76.0606082235
G2RC_20_34 -12.3467247851
G2RC_20_34 -14.7735693896
G2RC_20_68 12770.7437924400
G2RC_20_68 -183.7454631777
h -0.4992784057
he -2.8869310725
he_plus -1.9936231604
mg -199.5607254140
n -54.4174286813
o -74.8055641889
p -340.6423126734
s -397.4096929245
si -288.8147879052
SIE4x4_2_h2+_1.5 -0.5711107019
SIE4x4_3_h2+_1.75 -0.5535034088
SIE4x4_4_he2+_1.0 -4.9680990292
SIE4x4_5_he2+_1.25 -4.9542435109
SIE4x4_6_he2+_1.5 -4.9317473527
SIE4x4_7_he2+_1.75 -4.9147388765
W4-11_104_hnnn -163.9419283973
W4-11_107_so3 -621.9188045667
W4-11_109_bn3pi -79.0869752552
W4-11_113_n2o -183.7465033249
W4-11_114_c-hooo -225.0418645059
W4-11_116_p4 -1362.7279745836
W4-11_120_t-hooo -225.0505968575
W4-11_124_no2 -204.1021931178
W4-11_128_s4-c2v -1589.7574841533
W4-11_130_c2 -75.6091338160
W4-11_134_fo2 -248.9735288314
W4-11_135_cloo -609.0102349061
W4-11_136_foof -348.3015373159
W4-11_137_o3 -224.3891186258
W4-11_138_bn -79.0639318902
W4-11_41_sif4 -686.8310895849
W4-11_46_alf3 -540.3756513495
