al -241.8466557081
al -241.8602585731
ALKBDE10_2_cao -751.7332937123
ALKBDE10_7_mgo -274.4607235398
b -24.5687081640
b -24.5694762107
be -14.5858570507
be -14.5974951279
BH76_1_n2 -109.1925048552
BH76_1_n2 -109.1947561841
BH76_1_n2ohts -184.5403928497
BH76_1_oh 385.4801578496
BH76_1_oh -75.5076932658
BH76_9_hf -100.1646709628
BH76_9_hf 273.1174331400
BH76_9_hf2ts -199.4045434700
c -37.7272542068
c -37.7287072189
ca -676.8304617388
ca -676.8304712836
cl -459.4362800165
cl -459.4364691985
DC13_7_be4 -58.4329292723
f -99.4281398572
f -99.4288176935
G2RC_10_61 -436.2328410598
G2RC_10_62 -1875.9731989187
G2RC_10_66 -687.4730480395
G2RC_10_67 -2127.2245956560
G2RC_10_67 -2127.2247222771
G2RC_20_1 -1.1633909879
G2RC_20_1 -1.1633909885
G2RC_20_1 -1.1633909889
G2RC_20_13 -64.0132232838
G2RC_20_13 -76.1982116111
G2RC_20_13 -76.1999657536
G2RC_20_34 -109.1942938390
G2RC_20_34 -14.6476472247
G2RC_20_34 -15.4663194770
G2RC_20_68 -184.0920536439
h -0.4992784057
h -0.4992784057
he -2.8869310725
he -2.8869310725
he_plus -1.9936231604
he_plus -1.9936231604
mg -199.5781543443
n -54.4168835299
n -54.4168850765
o -74.8363920733
o -74.8368977620
p -340.6557606499
p -340.6559037900
s -397.4501919289
s -397.4502804193
si -288.8181531872
si -288.8182390403
SIE4x4_2_h2+_1.5 -0.5711107019
SIE4x4_2_h2+_1.5 -0.5711107019
SIE4x4_3_h2+_1.75 -0.5535034088
SIE4x4_4_he2+_1.0 -4.9512322435
SIE4x4_5_he2+_1.25 -4.9345907465
SIE4x4_6_he2+_1.5 -4.9100445830
SIE4x4_7_he2+_1.75 -4.8959230879
W4-11_104_hnnn -164.2546626142
W4-11_107_so3 -622.4455901540
W4-11_109_bn3pi -79.1418043497
W4-11_113_n2o -184.0910531363
W4-11_114_c-hooo -225.3587897722
W4-11_116_p4 -1363.1129329927
W4-11_120_t-hooo -225.3555372315
W4-11_124_no2 -204.1021930890
W4-11_128_s4-c2v -1590.1715647680
W4-11_130_c2 -75.6029353244
W4-11_134_fo2 -249.2302760215
W4-11_135_cloo -609.2661174557
W4-11_136_foof -348.7300119272
W4-11_137_o3 -224.6494501229
W4-11_138_bn -79.0952410374
W4-11_41_sif4 -687.4722472671
W4-11_46_alf3 -540.8465237092
